critic,predicted_critic,percent_diff
0.63,0.71813285,13.989341826665969
0.4,0.51152,27.880007028579705
0.81,0.74150395,8.45630198349188
0.67,0.69745004,4.097021159841048
0.42,0.35980856,14.331294241405665
0.33,0.48996192,48.473309748100505
0.65,0.7168094,10.278367996215817
0.63,0.57890475,8.110357466198149
0.43,0.6273903,45.904726760331975
0.87,0.4029401,53.68504661253129
0.56,0.19182706,65.74516807283675
0.49,0.48646557,0.7213115692138654
0.77,0.7168094,6.907871172025608
0.46,0.54593384,18.68127014326012
0.7,0.7501689,7.166988509041929
0.24,0.38524115,60.51714619000753
0.5,0.5715708,14.314162731170654
0.69,0.6923129,0.33520235531572756
0.63,0.5155125,18.172614915030344
0.41,0.49836206,21.551723015017632
0.91,0.6684713,26.541617938450408
0.64,0.39706397,37.95875459909439
0.51,0.656155,28.65784121494667
0.43,0.37857002,11.960460418878597
0.66,0.6648605,0.7364374218564997
0.86,0.64855105,24.587087575779407
0.57,0.5757416,1.007296327959036
0.85,0.57372844,32.50253621269675
0.69,0.7458114,8.088609101115802
0.44,0.4114148,6.496635892174461
0.8,0.59455204,25.680994987487797
0.69,0.45624018,33.87823519499405
0.8,0.46018612,42.47673451900483
0.87,0.60483986,30.4781768513822
0.75,0.5610433,25.1942237218221
0.55,0.6388855,16.160999644886356
0.51,0.2368383,53.56111842043259
0.65,0.66650546,2.539300918579098
0.42,0.3778965,10.024645782652351
0.46,0.3659013,20.456241006436557
0.58,0.62505436,7.767993006212965
0.68,0.64430445,5.249344951966236
0.28,0.652947,133.1953602177756
0.53,0.45923752,13.351412089365837
0.41,0.6746693,64.55349398822321
0.9,0.6743544,25.071736176808677
0.31,0.4161734,34.249483385393695
0.65,0.6297833,3.1102657318115265
0.18,0.17862521,0.7637716001934438
0.69,0.7240711,4.937838471454131
0.44,0.5226267,18.77879500389099
0.65,0.65850073,1.3078047679020774
0.66,0.60079724,8.970115762768375
0.45,0.51103395,13.563100496927895
0.78,0.70123935,10.097519556681318
0.38,0.568802,49.68473660318475
0.33,0.58716273,77.92810093272816
0.74,0.50044227,32.37266669402251
0.32,0.51872224,62.10069879889488
0.56,0.54559404,2.5724934680121376
0.55,0.5066204,7.8871987082741555
0.48,0.46248215,3.649551173051195
0.56,0.552995,1.2508881943566552
0.59,0.68730545,16.49244922702596
0.51,0.48593926,4.717791314218561
0.8,0.7753317,3.083540499210363
0.68,0.5005992,26.382469780304856
0.79,0.5661726,28.332582304749312
0.57,0.6342323,11.268821515535064
0.66,0.68789554,4.226596427686282
0.38,0.52084285,37.06390794954802
0.32,0.5428846,69.65143382549286
0.52,0.65828246,26.592780535037697
0.71,0.69542867,2.0523000770891167
0.38,0.65998983,73.68153521889134
0.58,0.8612573,48.49264046241498
0.69,0.7321096,6.102841487829244
0.57,0.53909403,5.422099849633995
0.85,0.95456696,12.301994772518384
0.82,0.5907133,27.961789980167293
0.68,0.73212063,7.664798989015458
0.88,0.7075153,19.60053416815671
0.53,0.5966393,12.573448217140049
0.54,0.44130355,18.277120148694078
0.44,0.50872904,15.620236505161632
0.36,0.2682414,25.48849847581651
0.64,0.7515562,17.43065901100635
0.76,0.73637444,3.1086266040802015
0.78,0.6213567,20.338881321442436
0.37,0.5851105,58.13796906857877
0.66,0.7914043,19.90974346796671
0.77,0.6529218,15.204961578567309
0.62,0.53314644,14.00863855115829
0.37,0.5529657,49.45018935847927
0.65,0.5464673,15.928107041579029
0.64,0.67926025,6.134414672851561
0.51,0.7483061,46.72668541178984
0.49,0.34031022,30.548935520405674
0.82,0.6618896,19.281754551864246
0.75,0.5636122,24.851703643798828
0.65,0.5204059,19.937555606548607
0.55,0.63309705,15.108555013483214
0.45,0.587459,30.546450614929196
0.43,0.641929,49.28580716598866
0.99,0.74514455,24.732874138186677
0.23,0.46178162,100.7746178170909
0.57,0.68196934,19.643744669462517
0.66,0.5635009,14.62107860680783
0.69,0.58760834,14.839371390964667
0.3,0.34895748,16.31915966669719
0.31,0.3938579,27.05093429934594
0.49,0.55603135,13.475784963491014
0.64,0.580074,9.363435581326486
0.39,0.4591943,17.74212886125613
0.75,0.67555916,9.925444920857748
0.38,0.42698735,12.365092101850008
0.8,0.6939599,13.255013525485996
0.62,0.59006155,4.828783004514632
0.6,0.65462285,9.103808800379438
