release_year,length,genre,rating,imdb_votes,gross_US_CA,imdb_score
1987,94,5,11,143137,22.85,7.3
2009,79,3,11,142757,31.74,7.0
1979,96,5,13,142604,45.7,7.8
2015,122,0,11,142571,25.02,6.9
1990,96,5,11,142425,16.67,7.1
1984,82,5,13,142344,4.74,7.9
2000,83,5,11,142309,46.73,5.5
2018,116,6,13,142178,103.8,7.0
1986,101,2,10,142140,12.73,7.3
2013,114,0,11,142133,65.19,6.2
2018,130,0,11,142023,115.72,7.1
2002,131,0,11,141824,54.23,7.7
2006,105,0,13,141539,34.02,5.5
2017,89,3,10,141512,264.62,6.2
2013,107,0,13,141510,12.05,6.3
2017,95,0,11,141504,50.7,5.6
2002,92,0,11,141440,91.05,5.5
1979,112,0,10,141188,43.0,7.6
1999,100,0,13,141159,81.53,7.1
2003,117,0,11,141056,65.66,5.5
2015,100,5,13,140856,90.41,6.0
1985,107,0,11,140678,36.2,6.2
1999,84,2,10,140591,140.04,6.0
2015,94,12,11,140568,65.21,6.2
1997,113,5,13,140521,12.02,7.2
2014,109,5,11,140444,86.21,5.6
1955,76,3,4,140420,93.6,7.3
1992,129,0,13,140266,121.95,6.3
2009,102,5,13,140241,16.2,5.4
1940,130,7,3,140207,4.36,8.1
2021,143,0,11,140098,173.2,5.2
2002,101,0,11,140047,43.06,6.2
1986,116,0,13,140043,5.9,7.1
2017,109,12,13,139948,102.09,6.5
2015,124,4,11,139821,56.45,6.6
2010,104,5,13,139820,31.58,6.4
2016,103,0,11,139806,45.54,5.9
2002,97,6,9,139799,0.75,7.3
2005,85,3,4,139713,56.11,7.5
2004,90,5,11,139596,88.1,6.0
1993,154,7,13,139505,158.35,6.8
2010,115,0,13,139342,35.05,6.8
2008,114,2,13,139266,38.09,6.5
2015,125,5,13,139138,110.21,6.2
2013,96,0,11,138953,33.62,5.6
2003,115,0,11,138846,52.8,6.6
2017,120,5,13,138780,42.87,7.5
2014,101,7,11,138773,18.75,7.5
1963,115,0,10,138737,24.8,7.4
2019,114,0,11,138675,80.0,5.6
1995,100,5,10,138639,100.33,6.1
2022,168,0,9,138573,6.6,8.3
2016,106,5,11,138449,30.5,6.3
2013,131,7,11,138371,21.49,7.5
2018,100,0,13,138233,54.55,6.5
1989,122,4,13,138195,26.83,7.8
2011,103,12,13,138089,16.93,6.2
2002,116,6,11,138059,71.76,7.1
2006,97,5,13,137996,24.15,7.3
2000,110,7,13,137971,22.0,7.7
1960,197,2,11,137901,30.0,7.9
1990,115,6,13,137802,5.08,7.7
1979,162,7,9,137679,0.23,8.1
1998,99,3,10,137611,101.22,7.2
2001,114,5,11,137320,70.84,6.0
2017,130,7,13,137254,21.02,7.4
2011,107,7,13,137161,5.35,7.1
2009,95,0,13,137070,20.49,5.7
2018,107,0,13,137065,51.02,5.3
2014,117,5,11,137018,46.29,6.5
2016,86,0,11,137004,55.12,6.3
1999,105,0,13,136852,73.65,5.9
2014,104,0,13,136698,82.39,6.4
2013,111,5,13,136429,134.51,5.7
1951,101,6,10,136396,7.63,7.9
2019,104,3,10,136386,160.8,7.4
1999,123,6,13,136381,36.66,6.6
2013,130,0,11,136135,31.17,5.8
2005,114,4,13,136040,28.75,7.3
2002,95,5,10,135991,241.44,6.6
2009,100,7,11,135979,12.57,7.3
2010,144,0,9,135927,0.13,7.8
1941,64,3,4,135760,1.6,7.2
2006,93,5,11,135576,36.32,6.4
2008,86,12,13,135328,52.6,6.1
2006,106,5,11,135174,118.7,5.8
2008,92,0,13,135110,0.1,7.0
1988,94,0,13,135074,13.01,7.2
1989,90,2,10,135021,40.49,6.9
2010,114,5,11,135002,53.37,6.5
1988,102,0,13,134877,53.72,5.8
2022,104,0,11,134790,73.87,5.2
2009,94,5,13,134738,32.43,6.2
2011,101,0,10,134732,8.31,6.3
2014,105,0,11,134612,50.58,6.2
2009,105,7,13,134601,28.5,7.1
2016,96,0,11,134566,38.58,6.5
2002,110,7,11,134480,41.68,7.5
2013,89,7,9,134443,0.07,7.2
2016,101,2,11,134425,5.2,7.8
2015,118,7,13,134417,12.71,7.2
2014,118,5,11,134391,78.03,6.1
2015,105,5,11,134258,6.74,7.7
2016,81,12,11,134249,67.27,6.3
2013,105,5,11,134150,63.91,6.6
2001,90,12,13,134044,37.9,6.2
2000,112,0,13,133996,73.21,5.8
2003,116,5,11,133890,36.91,7.3
2012,85,5,13,133854,86.91,6.1
2007,117,5,10,133796,118.87,6.7
1993,113,0,13,133668,84.05,6.5
2005,119,7,11,133595,75.07,6.7
1999,118,4,13,133571,34.58,7.4
1973,151,4,13,133534,53.27,8.0
1950,138,7,12,133528,0.01,8.2
2020,109,0,11,133354,1.07,6.9
2013,104,12,13,133079,27.7,6.5
2008,109,0,11,133055,94.78,5.1
2015,89,3,10,132977,169.7,6.6
2016,101,3,10,132866,48.02,7.7
1995,127,0,13,132746,67.82,6.6
1968,96,12,9,132693,0.09,7.8
2011,116,0,13,132549,25.12,6.4
2008,104,7,11,132428,33.42,7.5
2006,102,0,11,132428,36.9,6.6
2014,115,2,13,132201,37.88,7.1
2017,97,3,10,132174,175.0,6.3
2010,106,5,13,132077,20.81,7.0
2021,108,7,11,132072,48.28,5.8
2012,131,0,13,132059,47.38,6.4
2022,112,0,11,132038,105.34,6.1
2005,128,7,13,132025,50.82,6.9
2016,104,5,13,131936,14.43,7.3
1998,124,5,11,131922,40.57,7.5
2001,101,5,11,131853,38.35,6.1
1987,94,12,13,131770,14.56,6.9
1973,83,3,4,131599,32.06,7.5
2022,114,12,13,131493,81.64,6.3
2009,98,0,13,131337,30.1,6.4
2006,85,3,10,131274,64.67,6.6
1996,121,0,13,131147,136.49,6.7
2015,123,2,10,131107,10.14,7.3
1984,96,5,13,130672,81.2,6.7
2011,137,4,13,130606,37.31,6.5
2000,110,0,11,130575,56.94,6.6
1992,120,5,13,130558,52.93,7.6
2010,110,0,11,130482,67.06,5.5
2001,124,0,13,130479,71.07,6.8
2005,93,0,11,130420,25.86,5.4
2002,125,7,13,130319,65.02,7.2
2009,108,7,9,130306,0.4,6.5
2015,95,6,13,130252,3.22,7.0
1993,104,2,11,130218,35.74,6.7
2018,128,0,11,130156,15.95,6.1
1988,107,5,10,130132,111.94,6.1
2012,102,5,13,130062,35.35,5.7
2000,130,7,11,130021,155.46,6.6
2003,106,0,11,129992,100.83,4.9
2017,102,6,13,129662,2.03,7.3
2011,80,5,13,129255,2.55,7.1
2016,100,5,13,129231,113.26,6.2
1987,153,7,10,129180,22.24,7.7
2015,159,0,9,129168,6.74,8.0
2007,90,5,4,129133,33.3,6.4
1995,91,5,4,128769,66.6,6.9
2007,94,0,13,128765,41.8,4.6
1921,68,5,12,128736,5.45,8.3
2019,99,0,11,128702,57.01,6.4
1957,116,6,3,128686,8.18,8.4
1997,94,3,4,128502,58.41,7.1
2014,106,7,13,128438,0.33,7.3
1995,111,7,13,128373,31.97,7.5
1985,162,0,13,128364,4.14,8.2
2005,113,12,13,128271,32.06,5.4
2008,92,6,13,128172,56.75,5.8
1996,111,0,11,128145,92.0,7.6
2006,104,0,10,128064,75.03,5.1
2011,105,5,13,127977,45.06,5.9
2007,110,0,13,127970,47.54,7.0
1998,104,12,13,127868,40.06,6.6
2008,100,0,11,127853,40.69,5.3
2014,98,2,10,127771,113.75,6.2
2017,117,5,13,127678,2.4,7.2
1999,102,0,13,127589,32.7,6.6
2012,86,2,13,127555,4.01,6.9
2016,97,5,13,127441,4.21,6.9
1948,126,2,12,127249,5.01,8.2
2016,102,5,13,127185,35.59,5.9
2002,101,0,13,127159,0.17,8.0
1973,130,4,13,127154,29.8,7.7
2013,117,7,9,127071,0.79,6.9
1971,104,0,13,126936,15.63,7.7
2006,91,3,10,126868,73.66,6.6
2005,85,19,11,126857,57.89,6.5
2016,120,0,11,126745,66.18,5.7
2002,96,0,11,126722,56.68,6.0
2008,165,2,11,126618,49.55,6.6
2014,150,0,13,126451,2.63,7.9
2008,93,0,10,126431,101.7,5.8
1988,126,0,10,126346,57.27,7.2
2002,96,7,13,126335,31.6,6.8
2018,102,0,11,126058,68.42,5.8
2016,92,5,13,126022,55.46,5.7
2006,120,7,13,126015,2.2,7.1
2004,143,7,11,125970,51.27,7.2
2003,121,0,13,125791,43.73,6.6
2006,135,0,13,125773,33.6,7.1
2013,94,7,13,125627,51.87,6.7
2014,107,7,11,125477,50.47,6.7
2003,115,7,8,125430,2.53,7.1
2007,109,12,13,125338,58.27,6.0
2013,118,0,13,125309,17.62,6.2
2001,106,7,13,125306,13.62,7.7
1995,94,5,13,125302,2.12,7.0
2001,95,3,10,125202,84.05,6.9
2016,86,12,13,125138,0.01,6.8
1991,116,5,13,124863,6.15,7.6
2015,101,5,13,124779,13.65,6.6
2003,84,12,13,124764,15.42,6.1
2000,123,0,11,124714,34.6,5.9
2003,128,5,11,124674,124.73,6.7
1982,96,0,10,124657,33.0,6.7
2006,101,6,9,124650,0.33,7.7
1982,113,0,10,124625,78.91,7.7
1978,109,5,13,124585,0.2,7.4
1994,97,5,10,124556,144.83,6.5
2006,83,5,11,124540,90.71,5.1
2010,101,12,13,124504,39.12,6.5
2012,109,0,13,124411,66.53,6.4
1998,108,6,13,124344,29.75,6.6
2010,116,7,13,124083,12.13,7.1
2008,145,5,13,124013,152.65,5.7
2014,114,0,13,124002,26.31,6.5
2002,95,3,10,123988,38.18,7.2
2000,98,5,13,123905,57.26,6.7
1987,100,0,13,123837,153.67,6.5
1978,127,12,19,123747,5.1,7.8
1976,111,12,13,123740,4.27,7.5
2015,96,5,11,123700,150.36,6.1
1992,104,5,11,123555,58.42,6.6
1998,114,7,11,123544,78.69,6.7
2005,118,0,11,123500,37.92,5.9
2019,102,5,13,123480,22.68,7.1
2009,123,4,11,123458,94.13,7.0
2013,100,0,13,123451,20.16,6.5
2001,111,5,13,123110,6.22,7.3
2003,130,6,13,122789,19.59,7.5
2013,131,6,13,122666,0.09,7.8
2014,95,2,10,122624,76.27,7.3
2021,112,12,13,122621,65.63,6.3
1999,162,7,13,122469,75.53,6.9
2017,89,6,13,122436,2.52,6.7
2003,97,0,13,122386,82.62,5.7
1989,107,7,10,122298,64.43,7.5
2011,96,0,11,122240,51.77,4.3
2010,125,5,11,122212,110.49,5.7
1983,107,5,13,122042,14.93,7.5
2006,104,6,11,121891,65.33,6.5
2004,104,0,11,121870,40.2,3.4
2009,96,3,10,121846,137.86,6.8
1965,130,0,10,121828,63.6,6.9
2005,96,5,11,121816,32.62,6.2
2014,97,7,11,121704,45.09,6.4
1980,98,5,0,121583,39.85,7.2
2011,87,0,11,121577,29.14,5.7
2017,101,7,11,121561,24.8,7.6
2002,101,5,11,121444,93.35,6.1
2001,88,0,10,121122,112.72,5.6
2000,123,7,11,121031,33.52,7.2
2013,106,2,10,121028,68.56,5.7
2007,102,4,13,120950,66.66,7.0
1997,102,0,10,120898,30.88,4.5
1995,96,0,13,120793,34.69,5.6
2009,146,5,13,120790,51.86,6.3
1963,138,7,9,120656,0.05,8.0
2018,111,0,11,120641,59.87,5.6
2007,100,0,11,120617,168.27,5.8
1995,101,0,11,120527,70.45,5.8
1977,89,9,9,120495,7.0,7.3
1999,132,7,10,120378,58.22,6.9
2016,127,0,11,120360,31.15,5.4
2006,167,5,9,120223,2.2,8.1
2000,129,4,13,120209,48.82,7.2
1997,124,0,13,120105,54.93,6.4
1996,95,5,11,120051,128.81,5.7
2013,115,7,13,120012,17.65,7.7
2013,116,0,13,119985,11.33,6.7
1984,93,5,10,119978,23.69,7.0
2015,93,3,10,119872,123.09,6.7
2002,124,0,11,119835,118.91,6.4
2006,132,0,13,119760,63.45,6.0
2011,92,12,13,119757,42.59,5.9
1999,113,0,11,119627,87.7,6.3
1995,136,7,10,119530,43.18,7.7
1976,138,7,10,119330,70.6,7.9
2013,111,5,13,119177,36.92,6.3
2017,111,7,13,119143,5.9,7.6
2010,92,0,13,119069,23.98,6.4
2001,112,0,11,119044,56.62,6.4
2018,104,0,11,118990,36.34,6.3
2010,133,2,11,118845,2.7,7.3
2012,86,3,10,118700,214.03,6.4
2020,90,0,13,118695,5.81,6.5
2018,110,5,11,118604,40.83,7.5
2007,86,7,13,118464,9.44,7.8
2022,102,3,10,118433,168.46,7.9
2005,104,7,11,118345,47.81,6.5
2011,120,7,11,118085,58.71,6.9
2002,86,2,10,118062,153.29,5.2
2007,90,5,13,117974,8.58,7.3
2017,113,0,13,117883,34.39,7.0
1995,91,5,13,117794,27.47,7.2
2014,99,0,11,117792,134.94,6.1
2000,100,5,11,117555,60.79,5.7
2016,111,5,13,117534,60.32,6.2
2002,108,5,11,117373,127.22,6.2
1998,115,4,11,117366,135.03,6.8
2013,132,4,11,117225,116.63,7.2
1939,129,5,12,117213,9.6,8.1
1961,153,6,3,116996,43.66,7.6
1995,116,0,13,116831,91.4,7.3
2004,108,5,13,116774,40.23,6.0
2018,140,0,13,116770,44.95,7.0
1991,85,5,11,116761,86.93,6.9
2001,224,7,10,116571,0.07,8.1
2013,125,0,11,116547,26.63,5.8
2012,101,2,13,116524,6.62,6.7
2001,90,5,11,116413,50.29,6.8
2019,117,0,11,116250,48.55,5.7
2008,109,0,13,116238,26.42,6.8
2016,161,7,13,116111,7.1,7.1
2005,103,7,13,116043,6.3,7.1
2015,99,2,13,116004,58.88,6.1
2012,91,0,11,115952,20.28,6.5
2008,115,4,11,115781,26.81,6.7
2013,101,6,13,115638,2.32,6.9
2005,105,0,13,115623,28.21,5.2
2003,85,3,4,115600,85.34,6.8
2009,90,12,13,115588,27.69,6.0
1992,117,0,13,115580,83.29,6.8
2003,98,12,13,115449,59.69,5.8
2010,98,5,11,115312,148.38,5.5
1974,113,7,10,115214,4.42,7.8
1995,102,4,13,115112,2.42,7.3
2017,135,7,13,115065,24.45,5.8
2006,123,4,11,114919,15.96,6.5
1994,127,0,10,114748,101.63,7.0
2013,90,0,13,114726,0.78,5.7
2014,94,5,13,114725,38.54,5.1
2019,125,5,13,114613,30.32,6.8
2009,99,6,13,114605,9.17,7.5
2002,112,7,13,114593,9.28,7.9
1996,115,0,13,114471,101.3,6.2
1969,113,7,13,114470,44.79,7.8
2005,90,12,13,114147,65.23,5.9
2006,100,3,13,114086,5.5,7.0
2004,119,0,11,114039,11.05,7.5
2006,117,2,13,114022,2.28,7.8
2016,113,2,10,113872,77.04,6.2
2000,125,5,11,113810,75.79,6.8
2011,100,9,11,113720,37.66,5.4
1996,103,2,4,113695,136.19,5.7
2016,114,0,11,113613,48.39,6.1
1983,98,2,13,113599,61.4,7.3
2006,103,4,11,113546,56.44,7.3
2005,95,5,11,113523,48.32,6.7
2009,117,5,13,113485,7.99,7.3
1925,95,2,12,113407,5.45,8.1
1992,128,5,10,113394,107.53,7.3
2014,105,0,11,113351,23.22,5.5
2006,137,7,13,113346,5.46,7.5
2015,100,7,9,113267,0.23,6.6
2009,111,0,11,113228,31.81,6.1
1972,109,2,13,113208,7.06,7.7
1989,99,5,10,113124,106.59,7.3
2009,91,0,10,113108,20.82,5.2
2012,94,0,13,113053,17.14,6.5
2009,110,7,13,113033,47.57,7.3
2004,129,7,13,112992,65.96,6.6
2013,115,7,11,112926,71.35,6.6
1999,122,0,13,112891,66.89,5.8
2002,112,5,11,112872,32.54,6.7
1969,95,2,13,112816,41.73,7.3
2016,112,0,11,112733,34.92,5.2
1967,117,0,10,112695,43.08,6.8
1973,112,6,13,112542,3.13,7.2
2000,140,6,13,112523,4.18,7.9
2007,121,2,13,112490,27.67,6.1
1981,97,5,13,112169,30.57,7.5
2022,105,3,10,112148,118.31,6.1
2002,92,5,13,112109,21.01,6.4
2007,133,7,11,112058,24.34,7.3
1990,113,7,13,112017,26.12,7.4
2005,113,0,13,111961,34.64,6.5
2013,97,0,13,111917,0.03,7.0
2017,109,0,11,111828,33.7,5.3
1977,125,0,10,111781,46.8,7.0
1991,84,0,11,111682,69.47,6.7
2016,139,7,11,111652,57.68,7.2
2001,116,6,13,111627,7.49,7.5
1986,130,7,13,111444,7.15,7.7
2006,94,2,13,111416,8.32,6.8
2015,114,0,13,111409,26.46,6.6
2012,87,3,10,111406,35.29,6.9
2009,97,12,13,111230,65.0,5.5
2011,105,4,11,111209,30.02,6.4
2013,99,7,13,111202,1.7,6.7
2018,118,5,11,111200,67.36,7.3
2009,113,5,11,111166,109.21,5.5
2000,118,6,11,111127,45.01,7.4
1998,113,7,11,111069,55.49,6.9
2012,101,7,11,110758,60.46,6.4
1973,121,0,10,110748,35.38,6.7
2017,124,0,11,110661,85.36,5.9
1951,122,7,10,110631,8.0,7.9
2003,119,0,11,110527,53.79,6.3
2009,89,5,10,110521,58.72,5.4
2010,165,2,11,110422,4.02,7.9
2001,123,2,13,110326,66.81,6.1
1980,127,0,10,110248,108.19,6.8
1989,145,4,13,110172,70.0,7.2
1982,116,5,10,110171,177.2,7.4
2008,122,4,13,109926,18.59,7.7
1984,145,7,13,109861,2.18,8.1
2019,119,2,10,109803,113.93,6.6
2008,110,12,13,109773,30.69,6.1
2003,104,0,11,109720,47.73,6.6
2009,82,12,13,109648,66.48,5.1
1992,100,6,13,109605,10.73,7.7
1986,97,0,11,109602,174.64,6.6
1971,120,0,10,109538,43.82,6.5
2010,98,0,13,109531,23.24,6.4
2011,110,0,11,109504,20.38,5.7
2008,87,5,11,109429,38.23,2.8
2004,77,7,11,109394,0.42,6.8
2011,106,5,13,109328,18.3,6.4
2001,89,5,13,109118,38.25,5.7
1997,91,5,13,109109,45.95,7.2
1989,104,0,13,108975,63.41,6.4
2003,114,0,11,108945,60.48,6.2
2005,128,6,11,108943,72.71,6.4
1996,89,2,10,108937,60.57,5.7
1998,131,0,11,108931,57.17,6.5
2007,114,7,10,108922,31.66,7.4
1982,90,5,13,108909,27.09,7.1
1998,134,0,11,108825,37.02,6.1
2005,101,0,10,108797,29.26,6.2
1983,131,0,10,108769,67.9,6.5
2007,112,4,11,108737,5.99,8.0
2010,101,5,11,108696,27.76,6.1
1974,125,0,10,108621,20.97,6.7
2011,88,0,13,108601,1.02,6.6
2010,114,5,11,108568,73.03,5.9
2010,111,0,13,108541,13.79,6.3
2010,103,7,13,108511,61.98,5.8
1982,109,5,10,108486,2.5,7.8
2001,106,0,11,108389,59.07,6.4
1989,103,9,13,108377,57.47,6.5
2000,90,5,11,108363,39.46,5.3
1988,103,5,13,108354,1.11,7.2
2015,97,12,11,108234,52.22,6.1
1970,78,3,4,108231,37.68,7.1
2001,100,5,13,108224,18.49,7.0
2006,120,2,11,108173,5.49,7.3
2006,111,0,13,108164,31.57,7.6
2013,94,5,13,108113,8.83,4.3
2000,93,5,11,108079,37.88,6.1
1988,101,5,11,108065,60.33,6.9
2005,110,6,13,107978,2.06,7.2
1993,128,0,13,107866,102.31,7.2
1993,98,2,10,107845,68.86,7.0
1988,87,12,13,107812,33.24,6.6
2013,95,3,10,107651,119.79,6.3
1989,133,0,11,107610,34.67,6.6
2010,108,0,13,107610,0.21,7.5
1997,89,2,11,107548,45.32,6.5
1995,98,5,13,107540,4.3,6.7
1998,121,7,11,107474,83.9,7.0
2010,100,0,13,107450,40.17,5.2
1990,106,5,11,107445,41.48,6.4
2012,94,0,10,107378,103.86,5.7
1997,89,0,11,107333,65.89,4.8
1995,103,5,10,107317,81.06,6.8
2010,100,5,10,107286,25.92,6.4
1994,83,5,11,107227,51.13,6.5
2007,86,2,11,107225,39.74,2.4
2008,104,0,11,107224,52.08,6.5
2013,102,3,10,107200,107.52,6.6
1973,102,0,13,107155,25.0,7.6
2014,148,5,13,107100,8.11,6.6
2017,102,3,4,107098,152.9,6.7
2006,98,0,11,107040,60.67,5.7
1991,105,0,13,106772,59.51,7.0
2007,117,6,13,106758,7.08,7.3
1934,105,5,12,106726,4.36,8.1
1987,163,4,11,106665,43.98,7.7
1958,95,6,11,106593,2.24,8.0
2010,91,12,13,106587,84.75,5.7
2004,104,5,13,106549,39.8,6.2
2009,101,2,10,106517,77.23,6.7
2016,133,0,13,106510,31.89,7.3
2017,107,5,13,106482,8.04,7.2
1952,85,7,10,106466,9.45,8.0
2007,115,0,13,106352,0.01,8.0
2011,119,5,13,106344,13.1,6.1
2015,106,0,11,106138,27.37,5.9
2000,108,7,13,106109,3.45,7.4
2016,83,0,13,106009,6.86,6.2
2015,94,3,10,105994,177.4,6.6
2017,167,0,9,105868,20.19,8.2
1994,99,7,13,105835,4.04,8.1
2017,118,7,13,105749,114.38,4.6
2011,99,4,13,105643,5.7,6.4
2014,102,5,11,105561,44.13,7.2
1989,120,5,13,105557,27.55,8.0
1979,93,0,13,105531,22.49,7.6
1993,94,7,13,105493,1.32,7.9
2012,92,3,10,105423,56.0,7.0
2006,167,7,13,105227,59.95,6.7
2015,109,2,11,105120,32.0,6.2
2000,107,6,13,105102,61.33,6.4
2006,122,4,13,105077,15.23,6.9
2014,94,5,13,105073,26.05,6.1
2005,103,0,13,105031,24.52,7.0
2003,98,5,10,104864,138.61,5.9
2007,104,5,11,104857,50.57,6.5
1970,172,4,5,104606,61.7,7.9
2016,108,0,13,104580,79.21,6.0
2007,98,5,11,104571,47.64,6.8
2007,95,3,4,104559,97.82,6.8
2005,106,5,13,104535,13.74,7.2
1962,153,6,9,104430,9.25,7.5
2005,129,0,10,104395,46.46,5.9
2010,133,7,11,104383,52.47,6.2
2006,121,5,13,104224,12.9,7.6
2002,91,12,13,104223,30.11,5.5
2010,97,0,11,104208,23.58,6.2
1979,126,0,10,104174,70.31,6.2
1981,127,0,10,104159,62.3,6.7
2011,100,0,13,104094,1.2,7.5
1988,128,6,13,103806,34.6,7.8
2011,83,0,13,103747,37.05,6.1
2003,135,0,11,103722,31.19,5.5
1983,114,0,10,103718,79.57,7.1
2011,108,0,11,103710,36.67,6.4
2012,116,5,13,103699,36.93,5.5
2013,123,5,13,103580,1.88,7.2
2008,113,0,11,103505,24.85,6.5
2007,85,12,13,103489,19.36,6.2
2011,129,2,11,103393,31.85,6.9
2010,95,6,13,103342,63.08,5.2
2011,120,7,13,103317,1.73,7.3
2019,110,5,13,103268,104.96,6.3
1946,102,7,9,103258,10.46,7.9
2015,101,5,13,103233,1.98,7.0
1997,135,0,13,103207,75.98,6.7
2016,146,7,13,103185,8.11,6.4
2013,117,6,13,103111,16.97,5.4
2011,95,12,13,103087,18.47,6.6
1994,141,0,11,103049,122.19,6.9
2012,104,5,13,103016,2.54,7.2
1999,97,12,13,103003,2.84,6.8
2010,105,2,10,102938,53.03,6.5
1993,94,5,11,102903,48.92,6.8
2014,100,19,13,102819,0.32,6.7
2004,94,0,11,102808,32.0,6.5
2012,129,7,13,102779,12.82,6.6
1992,100,5,10,102764,139.61,6.5
2004,126,2,13,102748,16.78,7.7
2005,107,6,13,102606,17.04,6.7
2011,102,0,13,102590,21.6,5.5
2019,89,0,13,102546,44.82,6.1
2012,127,7,11,102528,6.74,7.9
2013,96,3,10,102491,83.03,6.4
2016,97,7,11,102375,31.02,6.7
2001,157,4,13,102290,58.2,6.7
2019,121,0,13,102179,69.03,6.4
2018,110,0,13,102123,21.7,6.6
1998,110,0,11,101996,54.68,6.2
2016,98,6,13,101987,41.01,6.5
1999,126,7,11,101765,57.55,7.4
1998,124,4,13,101763,30.08,7.4
2013,98,4,11,101704,37.71,7.6
2019,90,7,13,101675,17.3,6.1
1987,130,0,10,101624,51.19,6.7
1996,108,0,13,101575,70.77,6.1
2006,110,7,11,101515,42.29,5.5
2010,90,6,13,101509,45.71,5.5
1963,79,3,4,101379,22.18,7.1
1985,94,5,10,101376,14.64,7.2
2006,122,0,13,101339,6.86,7.3
2005,94,5,13,101252,16.12,6.7
2015,117,0,11,101229,12.28,6.5
2011,104,0,13,101127,10.71,5.4
1999,116,5,10,100922,152.26,5.6
2011,94,5,10,100832,68.22,6.0
2010,133,4,11,100704,80.57,5.8
1985,131,0,10,100698,50.33,6.3
1989,100,5,10,100653,66.76,7.1
2000,89,3,10,100642,50.86,6.9
2011,113,0,13,100524,21.3,5.1
2018,129,6,13,100438,42.4,6.8
2009,97,5,11,100425,43.34,4.9
2003,127,6,11,100417,49.44,7.1
2006,86,3,10,100298,85.11,6.1
2012,124,5,13,100214,28.84,6.2
2009,97,7,9,100162,0.11,7.2
1999,118,4,13,100137,11.53,7.5
2005,124,0,11,100122,68.67,6.0
2013,128,4,11,100112,16.13,6.0
2011,114,7,11,100049,33.05,6.0
2009,155,6,13,99992,2.08,7.8
1992,134,7,13,99939,4.16,7.2
2007,111,6,13,99741,1.29,6.5
2014,93,12,13,99692,21.2,6.2
2018,114,5,11,99688,120.63,6.6
1992,104,5,13,99651,0.24,7.5
2000,98,5,11,99626,68.38,6.1
2010,105,0,13,99603,35.61,6.3
2012,95,0,11,99588,14.33,6.0
1984,99,6,13,99512,2.15,7.6
1999,103,5,13,99490,14.88,7.3
2003,100,5,11,99438,35.33,6.3
1995,121,2,13,99415,1.04,7.5
1997,105,6,13,99381,44.89,7.0
2005,93,4,10,99326,31.5,7.4
1996,103,0,11,99322,51.37,6.4
2009,104,12,13,99287,17.0,5.8
1940,124,3,4,99251,76.41,7.7
1999,146,4,13,99229,50.67,7.6
1999,101,7,13,99213,8.26,7.8
1998,85,5,11,99080,144.16,5.4
2016,117,12,13,99053,1.33,6.1
1999,95,5,11,98999,63.37,5.9
1985,112,7,13,98882,68.71,7.4
1996,101,7,13,98790,24.88,6.4
2008,96,0,10,98683,71.2,6.5
2005,111,0,13,98669,0.08,6.3
2005,93,12,13,98411,20.7,6.2
2002,104,5,11,98373,35.08,5.5
2015,96,0,13,98211,9.25,6.7
2015,99,6,13,98166,0.04,4.9
2005,110,12,11,98160,76.23,5.4
1964,170,7,4,98055,72.0,7.8
2013,128,4,11,98020,95.0,7.5
2007,124,7,13,98014,19.66,7.4
1984,106,0,10,97875,76.57,6.9
1995,122,6,13,97798,39.39,7.5
2008,99,2,10,97771,110.1,6.0
1995,108,0,13,97747,18.64,6.5
1960,128,0,3,97737,4.91,7.7
2006,117,5,11,97713,7.46,6.9
2019,122,7,13,97703,3.76,8.1
2007,110,5,10,97602,90.65,6.3
1992,202,4,11,97598,48.17,7.7
2009,98,4,13,97540,2.04,6.6
2015,123,4,11,97451,34.54,7.1
2015,101,5,11,97442,34.02,6.4
1996,130,4,13,97437,20.19,7.3
2011,92,7,11,97437,1.32,6.9
2017,91,7,13,97334,13.99,6.2
2007,89,12,13,97282,16.81,6.1
2009,118,0,13,97188,25.45,6.5
1990,93,0,10,97099,135.27,6.7
2011,124,5,11,97094,46.41,7.2
2005,95,0,10,97085,113.09,5.6
2011,83,12,13,97047,104.01,5.8
2008,90,0,11,96979,22.53,5.5
1983,87,12,13,96918,2.12,7.2
2016,107,0,13,96882,26.83,5.5
2016,106,5,11,96863,3.24,7.9
2016,97,3,10,96761,107.51,6.3
2007,96,3,11,96754,4.45,8.0
2009,129,0,13,96623,9.08,7.1
2013,92,5,13,96546,102.0,6.5
1981,83,3,4,96530,63.46,7.2
2018,139,6,9,96526,1.37,8.2
1997,107,0,13,96513,28.01,7.3
1990,125,5,13,96364,14.56,7.2
2016,97,12,11,96253,35.82,6.0
2010,117,0,13,96221,43.31,6.6
1999,113,6,13,96162,69.3,6.8
2010,94,3,4,96141,19.2,7.6
2015,106,2,11,96012,15.79,7.3
2005,81,3,4,95962,135.39,5.7
2009,110,12,13,95956,32.75,6.5
2011,95,0,11,95820,24.83,5.4
1996,135,7,13,95801,24.48,8.0
2014,106,4,11,95797,14.48,7.0
1993,101,5,10,95716,32.42,7.8
1940,129,7,12,95671,0.06,8.1
2016,112,0,11,95647,82.05,5.9
2017,110,7,11,95580,20.5,5.3
1998,123,5,13,95462,37.56,7.0
2004,87,3,10,95397,85.42,7.1
1981,92,12,13,95351,25.53,6.5
1998,69,6,13,95252,0.05,7.5
1991,140,4,13,95240,35.18,7.2
