,title,director,release_year,length,genre,imdb_score,rating,gross_US_CA,imdb_votes
11245,New World Order,Jay Lee,(2002),122 min,Thriller,5.2,,,138
11246,Shanti Kranti,V. Ravichandran,(1991),142 min,"Action, Musical, Romance",6.5,,,138
11247,Killer Biker Chicks,Regan Redding,(2009),100 min,"Action, Comedy, Horror",3.1,Unrated,,138
11248,Pangarööv,Andrus Tuisk,(2009),93 min,Drama,5.9,,,138
11249,Helena,Alejandro Sugich,(V) (2018),96 min,"Drama, Romance",5.9,TV-14,,138
11250,I'm the One You Want,Dag Johan Haugerud,(2014),53 min,Drama,7.3,,,138
11251,Sisters of the Plague,Jorge Torres-Torres,(2015),72 min,"Drama, Horror, Mystery",3.0,,,138
11252,Buffalo Bill in Tomahawk Territory,Bernard B. Ray,(1952),66 min,Western,4.2,Passed,,138
11253,Without Compassion,Francisco J. Lombardi,(1994),120 min,"Crime, Drama",7.0,,,138
11254,YA na peremotke!,Nikita Vladimirov,(2022),89 min,"Comedy, Sci-Fi",5.9,,,138
11255,Burndown,James Allen,(1990),86 min,Thriller,3.5,R,,138
11256,Rhino!,Ivan Tors,(1964),91 min,"Action, Adventure",5.5,,,138
11257,Rat Scratch Fever,Jeff Leroy,(2011),95 min,"Horror, Sci-Fi",4.6,Not Rated,,138
11258,Kagehinata ni saku,Yûichirô Hirakawa,(2008),129 min,"Comedy, Drama",6.6,,,138
11259,Lakhon Ki Baat,Basu Chatterjee,(1984),136 min,"Comedy, Musical, Romance",6.6,,,138
11260,Breaking Point,Joe Gawalis,(I) (2017),82 min,"Drama, Thriller",2.7,,,138
11261,The Lost Lion Kingdom,Jason Wright,(2019),73 min,Animation,3.9,,,138
11262,Szeleburdi vakáció,György Palásthy,(1987),73 min,"Comedy, Family",7.1,,,138
11263,The Phantom Baron,Serge de Poligny,(1943),99 min,"Drama, Romance",6.5,,,138
11264,Kattappava Kanom,Mani Seiyon,(2017),125 min,Comedy,5.4,,,138
11265,Liang Po Po: The Movie,Bee Lian Teng,(1999),100 min,"Comedy, Crime",5.9,,,138
11266,The City Stands Trial,Luigi Zampa,(1952),103 min,"Crime, Drama, Mystery",7.5,,,138
11267,Le monde nous appartient,Stephan Streker,(2012),88 min,Drama,5.9,,,138
11268,Child's Play,Margaret Thomson,(1954),68 min,"Comedy, Sci-Fi",5.4,,,138
11269,Love Bound,Robert F. Hill,(1932),60 min,"Drama, Mystery",5.2,Passed,,138
11270,Dark at Noon,Raúl Ruiz,(1992),100 min,"Comedy, Fantasy",6.6,,,138
11271,Ce n'è per tutti,Luciano Melchionna,(2009),96 min,Comedy,5.1,,,138
11272,Shambala,Panjapong Kongkanoy,(2012),112 min,Drama,6.7,,,138
11273,Bangers and Cash,Luing Andrews,(2017),,Crime,9.7,,,138
11274,Straight Outta Oakland 2,Marcus D. Spencer,(2017),75 min,Drama,7.5,R,,138
11275,Star Worms II: Attack of the Pleasure Pods,Lin Sten,(1985),90 min,Sci-Fi,2.0,Not Rated,,138
11276,Mother,Kaneto Shindô,(1963),100 min,Drama,7.2,,,138
11277,Pumuckl und der blaue Klabauter,Alfred Deutsch,(1994),86 min,"Animation, Family",5.3,,,138
11278,Pacemaker,Dal-Joong Kim,(2011),124 min,"Drama, Sport",6.6,,,138
11279,The Interim Husband,Nosratollah Karimi,(1971),104 min,"Comedy, Drama, Romance",7.0,,,138
11280,Touch & Go,Scott Simpson,(2003),103 min,Comedy,5.4,,,138
11281,Hier kommt Lola,Franziska Buch,(2010),96 min,"Comedy, Drama, Family",5.9,,,138
11282,Bommana Brothers Chanadana Sisters,Srinivasa Reddy,(2008),161 min,Comedy,5.4,,,138
11283,The Love Songs of Tiedan,Jie Hao,(2012),91 min,"Comedy, Drama, Romance",7.3,,,138
11284,Ranbanka,Aryeman Ramsay,(2015),98 min,Action,3.6,Not Rated,,138
11285,Za posledney chertoy,Nikolai Stambula,(1991),103 min,"Action, Crime, Drama",7.1,,,138
11286,The Blue Fox,Viktor Tourjansky,(1938),101 min,Comedy,6.1,,,138
11287,The Hawk of Powder River,Ray Taylor,(1948),54 min,"Drama, Music, Western",5.5,Passed,,138
11288,Where Is Good?,Ricky Burchell,(2015),129 min,Drama,4.6,PG-13,,138
11289,Min kones ferie,John Hilbard,(1967),100 min,"Comedy, Romance",5.9,,,138
11290,$elfie Shootout,Giorgio Daveed,(2016),86 min,Comedy,3.2,TV-14,,138
11291,Mamiroo,Hadi Mohaghegh,(2015),90 min,"Comedy, Drama",6.9,,,138
11292,Six She's and a He,Richard S. Flink,(1963),72 min,Horror,5.2,Not Rated,,138
11293,Détour,Sylvain Guy,(2009),95 min,Thriller,5.3,,,138
11294,Rebellion,Lynn Shores,(1936),62 min,Western,5.8,Approved,,138
11295,Boulder Dam,Frank McDonald,(1936),70 min,"Action, Drama",6.2,Passed,,138
11296,Days of Violence,Stuart G. Robertson,(2020),120 min,"Crime, Drama, Thriller",3.1,,,138
11297,"Mange, ceci est mon corps",Michelange Quay,(2007),105 min,Drama,5.6,,,138
11298,Pleasure Cruise,Frank Tuttle,(1933),72 min,"Comedy, Romance",6.3,,,138
11299,Problem of Evil,E.B. Kogan,(2013),84 min,"Drama, Thriller",7.6,,,138
11300,The Apostles,Joe Chien,(2013),91 min,"Fantasy, Horror, Sci-Fi",2.5,,,138
11301,"One Street Organ, One Life",Sokrates Kapsaskis,(1958),77 min,Drama,6.5,,,138
11302,Pistas para volver a casa,Jazmín Stuart,(2014),89 min,"Adventure, Comedy, Crime",6.2,Not Rated,,138
11303,Innan vintern kommer,Stefan Jarl,(2018),75 min,Drama,4.3,,,138
11304,Wild 90,Norman Mailer,(1968),90 min,"Comedy, Crime, Drama",3.4,,,138
11305,Ap' to hioni,Sotiris Goritsas,(1993),90 min,Drama,6.5,,,138
11306,Planet of the Pitts,Andreas Brandy,(2004),112 min,"Comedy, Action",4.2,,,138
11307,Sleepy Eyes of Death: Sword of Villainy,Kenji Misumi,(1966),79 min,"Action, Drama",6.7,,,138
11308,Moskovskiy zhigolo,Dmitriy Fiks,(2008),97 min,Drama,5.9,,,138
11309,The Lightning Tree,Ryûichi Hiroki,(2010),133 min,Romance,5.8,,,138
11310,Fast Zombies with Guns,Bennie Woodell,(2009),87 min,Horror,2.0,Not Rated,,138
11311,Troublesome Night 2,Herman Yau,(1997),96 min,"Comedy, Horror, Thriller",5.3,,,138
11312,Dällebach Kari,Kurt Früh,(1970),113 min,"Comedy, Drama, Romance",7.7,,,138
11313,Groznica ljubavi,Vlastimir Radovanovic,(1985),98 min,"Action, Drama, Romance",6.5,,,138
11314,Hot Hot Hot,Beryl Koltz,(2011),93 min,"Comedy, Drama",5.1,,,138
11315,The Tough Guys,Christian Lo,(2013),74 min,Family,5.5,,,138
11316,The Bridal Party in Hardanger,Rasmus Breistein,(1926),104 min,"Drama, Romance",6.8,,,138
11317,Allotria,Willi Forst,(1936),94 min,Comedy,6.9,,,138
11318,Las Vegas,Juan Villegas,(I) (2018),75 min,Comedy,6.2,,,138
11319,Child Murders,Ildikó Szabó,(1993),78 min,Drama,6.6,,,138
11320,A Filha,Solveig Nordlund,(2003),90 min,"Drama, Horror, Thriller",5.9,,,138
11321,Die Österreichische Methode,Florian Mischa Böder,(2006),93 min,Drama,5.0,,,138
11322,China Express,Ilya Trauberg,(1929),62 min,Drama,6.4,,,138
11323,The Boss and the Worker,Steno,(1975),104 min,Comedy,6.0,Not Rated,,138
11324,Terror from Beneath the Earth,Christopher R. Mihm,(2009),69 min,"Comedy, Horror",4.8,,,138
11325,Xiang ji mao yi yang fei,Jing Hui Meng,(2002),94 min,Drama,7.2,,,138
11326,Scusa se è poco,Marco Vicario,(1982),91 min,Comedy,5.4,,,138
11327,Smugglers' Songs,Rabah Ameur-Zaïmeche,(2011),97 min,Adventure,6.1,,,138
11328,Angshumaner Chhobi,Atanu Ghosh,(2009),125 min,Drama,7.1,,,138
11329,Saint Monica,Terrance Odette,(2002),82 min,"Drama, Family",6.1,PG,,138
11330,Change of Fate,Kira Muratova,(1987),109 min,Drama,7.1,,,138
11331,"Blokada: Luzhskiy rubezh, Pulkovskiy meredian",Mikhail Yershov,(1974),185 min,"Action, Drama, History",7.1,,,138
11332,Travail d'arabe,Christian Philibert,(2003),88 min,Comedy,6.9,,,138
11333,La felicità non costa niente,Mimmo Calopresti,(2003),95 min,Drama,5.3,,,138
11334,Blind Spot,Christophe Wagner,(2012),96 min,"Action, Crime, Thriller",6.8,PG,,138
11335,Doar cu buletinul la Paris,Serban Marinescu,(2015),98 min,Drama,6.7,,,138
11336,Afterglow,Pratim D. Gupta,(2012),113 min,"Drama, Romance",6.5,,,138
11337,King Kelly of the U.S.A.,Leonard Fields,(1934),66 min,"Comedy, Musical, Romance",4.8,Passed,,138
11338,Un om în loden,Nicolae Margineanu,(1979),78 min,Thriller,7.1,,,138
11339,Taking It Back,Andreas Schmied,(2013),94 min,"Comedy, Romance",6.1,,,138
11340,Kono mune ippai no ai wo,Akihiko Shiota,(2005),132 min,Romance,6.4,,,138
11341,War Game 229,Albert Chiang-Liang Huang,(2011),100 min,"Comedy, Drama",3.7,,,138
11342,Da ying jia,Clifton Ko,(2000),91 min,Comedy,5.0,,,138
11343,Tijuana Makes Me Happy,Dylan Verrechia,(2007),79 min,"Comedy, Drama, Romance",6.0,PG-13,,138
11344,Lost Kisses,Roberta Torre,(2010),80 min,Drama,5.6,Not Rated,,138
11345,It All Began When I Met You,Katsuhide Motoki,(2013),106 min,"Drama, Romance",6.1,,,138
11346,S lyubovyu. Lilya,Larisa Sadilova,(2003),98 min,"Comedy, Drama",6.5,,,138
11347,Midnight Intruder,Arthur Lubin,(1938),68 min,"Adventure, Comedy, Crime",6.3,Approved,,138
11348,Szabla od komendanta,Jan Jakub Kolski,(1996),102 min,"Comedy, Fantasy",6.7,,,138
11349,Don't Ask Don't Tell,Doug Miles,(2002),75 min,"Comedy, Fantasy, Sci-Fi",3.8,Not Rated,,138
11350,"Tarp musu, mergaiciu",Kestutis Gudavicius,(2018),90 min,Comedy,3.8,,,138
11351,Secret Sunday,Saranyoo Jiralak,(2010),110 min,"Horror, Thriller",5.0,,,138
11352,Stark Love,Karl Brown,(1927),70 min,Drama,6.5,,,138
11353,Tramp,Ali Hatami,(1972),100 min,"Drama, Thriller",7.0,,,138
11354,Mille bornes,Alain Beigel,(1999),103 min,"Drama, Comedy",5.6,,,138
11355,Brides Are Like That,William C. McGann,(1936),67 min,"Comedy, Romance",5.5,Passed,,138
11356,El brindis,Shai Agosin,(2007),100 min,"Comedy, Drama",5.9,,,138
11357,Uchitel peniya,Naum Birman,(1973),86 min,"Comedy, Family, Musical",7.0,,,138
11358,"Sanjûsangen-dô, tôshiya monogatari",Mikio Naruse,(1945),77 min,War,6.7,,,138
11359,Weißt was geil wär...?!,Mike Marzuk,(2007),97 min,"Comedy, Romance",5.4,,,138
11360,Planet Blue,Gur Bentwich,(1995),86 min,"Adventure, Comedy, Drama",6.5,,,138
11361,The Loneliness of the Crocodiles,Jobst Oetzmann,(2000),96 min,"Comedy, Drama",7.1,,,138
11362,Lord of East China Sea II,Man Kit Poon,(1993),104 min,"Crime, Drama, Mystery",6.9,,,138
11363,The Fugue,Paul Awad,(2009),90 min,Horror,2.8,,,138
11364,Stamatis and Grigoris,Giorgos Papakostas,(1962),86 min,Comedy,5.8,,,138
11365,El amateur,Juan Bautista Stagnaro,(1999),88 min,Drama,6.5,PG,,138
11366,Snehamulla Simham,Sajan,(1986),,"Drama, Romance",6.7,,,138
11367,Mafish fayda,Hatem Farid,(2008),123 min,"Comedy, Drama, Fantasy",2.9,,,138
11368,Turma da Mônica: CineGibi 2,José Márcio Nicolosi,(2005),64 min,"Animation, Comedy, Family",7.3,,,138
11369,Estrellita,Metod Pevec,(2007),97 min,"Drama, Music",6.9,,,138
11370,Valsa para Bruno Stein,Paulo Nascimento,(2007),95 min,Drama,6.3,,,138
11371,Her Fatal Ways III,Alfred Cheung,(1993),98 min,"Comedy, Crime",6.0,,,138
11372,Sai da Frente,Tom Payne,(1952),80 min,Comedy,6.9,,,138
11373,Eliska má ráda divocinu,Otakáro Schmidt,(1999),100 min,Comedy,4.7,,,138
11374,Aysecik canimin içi,Hulki Saner,(1963),92 min,"Comedy, Family, Romance",5.0,,,138
11375,Maanavudu Daanavudu,C.V. Ramana Babu,(1986),140 min,Family,9.7,,,138
11376,Forest of Death,Brendan Rudnicki,(2023),,Horror,6.0,,,137
11377,Beauty and the Billionaire,Brian Brough,(2022),92 min,"Comedy, Drama, Romance",6.3,,,137
11378,Peridot,Shayne Pax,(2022),63 min,Drama,6.1,,,137
11379,Beshenstvo,Dmitriy Dyachenko,(2023),100 min,Thriller,6.3,,,137
11380,Produkty 24,Michael Borodin,(2022),106 min,"Crime, Drama",6.3,,,137
11381,Quit,Dick Rude,(2010),87 min,"Drama, Romance",4.5,,,137
11382,A Woman,Jean-Paul Civeyrac,(2022),92 min,Drama,4.7,,,137
11383,House of the Gorgon,Joshua Kennedy,(2019),77 min,Horror,3.2,,,137
11384,Adi,Prasobh Vijayan,(2023),131 min,"Comedy, Drama, Family",5.5,,,137
11385,The Passover Plot,Michael Campus,(1976),108 min,Drama,3.8,PG,,137
11386,Dawn,Gustav Ucicky,(1933),75 min,"Drama, War",7.0,,,137
11387,I Am That Man,Matthew Marsden,(2019),87 min,"Action, Drama",5.4,R,,137
11388,Banjaran,Harmesh Malhotra,(1991),145 min,"Drama, Romance",4.8,,,137
11389,Kaakan,Kranti Redkar,(2015),140 min,Romance,7.6,,,137
11390,Applecart,Dustin Mills,(2015),57 min,"Crime, Drama, Horror",5.4,,,137
11391,1915: Legend of the Gurkhas,Pradeep Shahi,(2022),72 min,"Drama, War",9.4,,,137
11392,Language Arts,Cornelia Duryée,(2020),127 min,Drama,5.9,,,137
11393,The City of the Future,Marília Hughes Guerreiro,(2016),76 min,"Drama, Romance",5.8,,,137
11394,Ayar,Floyd Russ,(2021),84 min,"Drama, Sci-Fi, Thriller",4.9,,,137
11395,Acts of Violence,Il Lim,(2010),,"Crime, Drama, Thriller",6.0,R,,137
11396,The Willowbrook,Zach Koepp,(2022),85 min,Thriller,3.2,,,137
11397,"Mädchen, die sich selbst bedienen",Erwin C. Dietrich,(1975),69 min,Comedy,4.9,X,,137
11398,Abar Bochhor Koori Pore,Srimanta Senguptta,(2022),,Drama,8.6,,,137
11399,Høst: Autumn Fall,Jan Vardoen,(2015),99 min,Drama,6.2,,,137
11400,Raising Buchanan,Bruce Dellis,(2019),96 min,Comedy,5.4,,,137
11401,Merah Putih Memanggil,Mirwan Suwarso,(2017),95 min,Action,7.2,,,137
11402,Emma Hamilton,Christian-Jaque,(1968),98 min,"Drama, History, Romance",5.7,R,,137
11403,Maharana Pratap: The First Freedom Fighter,Pradeep Kumawat,(2012),145 min,"Action, War",5.3,,,137
11404,Satan Was a Lady,Doris Wishman,(2001),80 min,Drama,4.3,,,137
11405,100% Kadhal,M.M. Chandramouli,(2019),151 min,"Comedy, Drama, Romance",4.1,,,137
11406,Enthralled,Chip Tsao,(2014),109 min,Drama,4.7,Not Rated,,137
11407,Another Way,Chang-ho Cho,(2015),90 min,"Drama, Romance",6.1,,,137
11408,Kaajal,Ram Maheshwari,(1965),168 min,"Drama, Musical, Romance",6.6,,,137
11409,Jibril,Henrika Kull,(2018),83 min,"Drama, Romance",6.3,,,137
11410,Pipe Dreams,Stephen Verona,(1976),89 min,"Drama, Romance",5.3,PG,,137
11411,Sunburn,Anthony Alleyne,(I) (2020),85 min,"Mystery, Thriller",4.6,,,137
11412,Never Better,Julianne Fox,(I) (2022),81 min,"Comedy, Drama",4.0,,,137
11413,Sons of Steel,Gary L. Keady,(1988),104 min,"Comedy, Musical, Sci-Fi",5.3,,,137
11414,Nero and Poppea - An Orgy of Power,Bruno Mattei,(1982),105 min,Drama,3.9,Unrated,,137
11415,Opus Zero,Daniel Graham,(2017),84 min,Drama,5.1,,,137
11416,The Rebels,Emmet Cummins,(2019),82 min,Adventure,3.5,,,137
11417,Case 347,Chris Wax,(2020),85 min,"Sci-Fi, Thriller",4.8,,,137
11418,The Carnal Sutra Mat III,Kai Keung Lai,(1996),96 min,Crime,5.0,,,137
11419,Average Joe,Mark Cantu,(2021),87 min,"Action, Comedy",3.3,Not Rated,,137
11420,Izpepelyavane,Stanimir Trifonov,(2004),90 min,Drama,6.5,,,137
11421,The Corruption of Divine Providence,Jeremy Torrie,(2020),96 min,Drama,3.9,,,137
11422,The Secrets of Love: Three Rakish Tales,Harry Kümel,(1986),93 min,Drama,6.4,,,137
11423,Celebrity Crush,Oliver Robins,(2019),91 min,Thriller,3.6,Not Rated,,137
11424,Born Winner,Aldo Lado,(1976),97 min,"Crime, Drama",6.4,,,137
11425,Leopard in the Snow,Gerry O'Hara,(1978),94 min,Drama,5.8,PG,,137
11426,Project Eliminator,H. Kaye Dyal,(1991),90 min,"Action, Thriller",3.3,R,,137
11427,Yoru no nagare,Yûzô Kawashima,(1960),111 min,Drama,6.8,,,137
11428,Eclipse: Keo-teo,Jung Hee-Sung,(2016),103 min,"Crime, Drama",6.3,,,137
11429,The Island Closest to Heaven,Nobuhiko Ôbayashi,(1984),102 min,Drama,6.1,,,137
11430,El E.T.E. y el Oto,Manuel Esteba,(1983),70 min,"Comedy, Sci-Fi",2.9,,,137
11431,Zebun,Mesut Erbas,(2022),95 min,"Horror, Thriller",3.0,,,137
11432,Un silencio de tumba,Jesús Franco,(1976),83 min,"Horror, Mystery",5.1,,,137
11433,Renovation of the Heart/It's a Fixer Upper,Sandra L. Martin,(2019),84 min,Romance,4.3,TV-G,,137
11434,Got my Hustle Up,Jason Dbks Hampton,(2018),134 min,Drama,4.6,,,137
11435,Blood at Sundown,José Antonio de la Loma,(1965),76 min,"Adventure, Western",5.3,,,137
11436,Captain Midnight,James W. Horne,(1942),270 min,"Action, Adventure, Drama",6.7,Passed,,137
11437,Pretty Dead Things,Richard Griffin,(2006),92 min,Horror,5.7,Not Rated,,137
11438,Adventures of Dally & Spanky,Camille Stochitch,(2019),84 min,"Drama, Family",4.9,PG,,137
11439,The Littlest Hobo,Charles R. Rondeau,(1958),77 min,Adventure,6.4,Approved,,137
11440,Hyderabad Nawabs,Lakshmikanth Chenna,(2006),118 min,Comedy,6.7,,,137
11441,Mad Warrior,Willy Milan,(1984),75 min,"Action, Fantasy, Sci-Fi",4.0,,,137
11442,Two Men,Satheesh Kumar,(II) (2022),115 min,"Drama, Thriller",6.2,,,137
11443,The Witches Attack,José Díaz Morales,(1968),76 min,"Adventure, Horror, Fantasy",5.3,TV-14,,137
11444,Phantasmagoria,Mickael Abbate,(I) (2014),80 min,"Fantasy, Horror, Mystery",3.2,,,137
11445,All the Way Up,James MacTaggart,(1970),97 min,Comedy,4.4,Not Rated,,137
11446,Opium War,Siddiq Barmak,(2008),90 min,"Drama, War",5.9,,,137
11447,Fatal Love,Po-Chih Leong,(1988),92 min,"Romance, Thriller",5.7,,,137
11448,Dwegons and Leprechauns,Tom Walsh,(2014),98 min,Animation,3.0,PG,,137
11449,Happy Little Bunnies,Patrick McConnell,(2021),98 min,"Comedy, Horror",4.2,,,137
11450,Farewell to the Land,Mitsuo Yanagimachi,(1982),130 min,Drama,7.0,,,137
11451,Missing Brendan,Eugene Brady,(2003),100 min,"Drama, Romance, War",6.1,,,137
11452,Banzai Runner,John G. Thomas,(1987),88 min,Action,4.7,,,137
11453,Furious,Tim Everitt,(1984),73 min,"Action, Adventure, Fantasy",4.4,R,,137
11454,Goodbye Baby,Daniel Schechter,(2007),87 min,Drama,6.1,Not Rated,,137
11455,Close Call,Jimmy Lee,(2004),93 min,"Action, Crime, Drama",4.1,Not Rated,,137
11456,"Hey, Let's Twist!",Greg Garrison,(1961),79 min,Musical,4.6,Not Rated,,137
11457,Extreme Force,Michel Qissi,(2001),90 min,Action,3.6,R,$0.00M,137
11458,Sleepless Night,Kun-jae Jang,(2012),66 min,Drama,6.5,,,137
11459,Eagle Squadron,Arthur Lubin,(1942),109 min,"Drama, War",6.2,Approved,,137
11460,The Gridiron,Gary Delaney,(2016),97 min,"Comedy, Drama, Sport",5.2,Not Rated,,137
11461,The Middle Distance,Patrick Underwood,(2015),80 min,"Comedy, Drama, Romance",5.0,,,137
11462,Mexico Barbaro 2,Michelle Garza Cervera,(2017),97 min,Horror,5.2,,,137
11463,Ghost in the Family,William David Glenn IV,(2018),100 min,"Comedy, Family",6.2,,,137
11464,Blonde. Purple,Marcus Flemmings,(2021),129 min,"Crime, Drama, Thriller",5.5,TV-14,,137
11465,Worst Woman,Jong-kwan Kim,(2016),94 min,"Drama, Romance",6.4,,,137
11466,Love and Run,Chainarong Tampong,(2019),101 min,"Comedy, Romance",5.6,,,137
11467,Happy Horror Days,Wesley Alley,(2020),87 min,Horror,2.6,,,137
11468,Dearest Anita,Clifton Ko,(2019),85 min,Biography,6.3,,,137
11469,Toba Tek Singh,Ketan Mehta,(2018),75 min,"Drama, History",6.9,,,137
11470,Ladies of the Big House,Marion Gering,(1931),77 min,"Crime, Drama, Music",6.5,Passed,,137
11471,Tenement 66,Rae Red,(2021),84 min,Thriller,6.2,,,137
11472,A Man for Emmanuelle,Cesare Canevari,(1969),96 min,Drama,5.2,,,137
11473,The Pad (and How to Use It),Brian G. Hutton,(1966),86 min,Comedy,6.2,Approved,,137
11474,Jin pai shi jie,Godfrey Ho,(1989),87 min,Action,5.9,,,137
11475,Gøngehøvdingen,Annelise Hovmand,(1961),111 min,"Action, Drama, Family",4.9,,,137
11476,Française,Souad El-Bouhati,(2008),84 min,Drama,6.3,,,137
11477,Agony of Love,William Rotsler,(1966),83 min,Drama,4.6,,,137
11478,Bandits in Rome,Alberto De Martino,(1968),105 min,"Crime, Drama",5.8,Not Rated,,137
11479,There's Something About a Soldier,Alfred E. Green,(I) (1943),81 min,"Action, Drama, Romance",6.0,Approved,,137
11480,Kantai Collection: KanColle Movie,Keizô Kusakawa,(2016),91 min,"Animation, Action, Fantasy",6.1,,,137
11481,It Rained All Night the Day I Left,Nicolas Gessner,(1980),95 min,"Comedy, Crime",4.2,Not Rated,,137
11482,Die Fledermaus,Géza von Cziffra,(1962),107 min,"Comedy, Musical",5.7,,,137
11483,Bratz: Desert Jewelz,David Mucci Fassett,(2012),74 min,"Animation, Family",4.8,TV-G,,137
11484,Kadhalil Vizhunthen,P.V. Prasad,(2008),188 min,"Action, Romance, Thriller",5.3,,,137
11485,Taana,Yuvaraj Subramani,(2020),123 min,"Action, Comedy, Horror",4.8,,,137
11486,Surviving Eden,Greg Pritikin,(2004),89 min,Comedy,5.4,Not Rated,,137
11487,Do Ladke Dono Kadke,Basu Chatterjee,(1979),,"Comedy, Crime",5.9,,,137
11488,V8 - Du willst der Beste sein,Joachim Masannek,(2013),106 min,"Action, Adventure, Family",4.4,,,137
11489,Magi i luften,Simon Staho,(2011),90 min,"Drama, Musical",5.1,,,137
11490,The Golden Boat,Raúl Ruiz,(1990),83 min,"Adventure, Comedy, Crime",6.3,,,137
11491,The Head Hunter,Shing-Hon Lau,(1982),98 min,"Action, Thriller",4.1,,,137
11492,"The Handsome, the Ugly, and the Stupid",Giovanni Grimaldi,(1967),92 min,"Comedy, Western",5.3,,,137
11493,O ippotis tis lakouvas,Omiros Efstratiadis,(1985),93 min,"Comedy, Sci-Fi",4.7,,,137
11494,Something Like That,Mariana Bastos,(2017),81 min,Drama,6.4,,,137
11495,Death on Scenic Drive,Gabriel Carrer,(2017),82 min,Horror,2.8,,,137
11496,Anatomy of a Marriage,André Cayatte,(1964),112 min,Drama,7.4,,,137
11497,Son Saka,Muhammet Erkam Bülbül,(2020),92 min,"Action, Comedy",4.5,,,137
11498,Na svoji Vesni,Saso Dukic,(2002),92 min,Comedy,4.0,,,137
11499,Pipeline,Emily Aguilar,(2020),85 min,Horror,2.7,,,137
11500,Ceza,Mehmet Dinler,(1974),84 min,"Adventure, Drama",6.1,,,137
11501,Lonely in America,Barry Alexander Brown,(1990),96 min,"Comedy, Romance",5.6,PG-13,,137
11502,Kamen Rider Agito: Project G4,Ryuta Tasaki,(2001),70 min,"Action, Adventure, Drama",6.0,,,137
11503,The Doorman,Jesse V. Johnson,(1999),92 min,"Action, Adventure",6.2,,,137
11504,The Devil on Wheels,Crane Wilbur,(1947),67 min,"Drama, Romance, Sport",5.3,Passed,,137
11505,Short Memory,Eduardo de Gregorio,(1979),105 min,Drama,5.7,Not Rated,,137
11506,Il trionfo di Maciste,Tanio Boccia,(1961),87 min,"Action, Adventure, Drama",4.2,,,137
11507,Desi Romeos,Shafaq Khan,(2012),,"Music, Musical",4.7,,,137
11508,When Thief Meets Thief,Raoul Walsh,(1937),85 min,"Adventure, Comedy, Crime",5.9,Approved,,137
11509,Szerelem második vérig,György Dobray,(1988),86 min,"Comedy, Drama, Romance",6.4,,,137
11510,Porno,Akihiro Kitamura,(2004),105 min,"Comedy, Drama",5.0,,,137
11511,The House Without Frontiers,Pedro Olea,(1972),92 min,Drama,6.0,,,137
11512,Stop Fooling Around... Soldier!,Michel Gérard,(1977),90 min,Comedy,3.7,,,137
11513,A Samurai Chronicle,Takashi Koizumi,(2014),129 min,"Drama, Mystery",6.6,,,137
11514,Bailaras,Ksshitij Chaudhary,(2017),134 min,Drama,6.5,,,137
11515,The Night of San Juan,Jorge Sanjinés,(1971),90 min,"Drama, History",7.4,,,137
11516,The Abadanis,Kianoush Ayari,(1993),93 min,"Drama, War",7.2,,,137
11517,Longing for the Rain,Tian-yi Yang,(2013),95 min,"Biography, Drama, Mystery",6.2,,,137
11518,Schlaraffenhaus,Marcel Walz,(2011),85 min,"Horror, Thriller",3.0,,,137
11519,Viejos amigos,Fernando Villaran Lujan,(2014),93 min,Comedy,6.8,,,137
11520,Happy Wedding,Lakshman Karya,(2018),128 min,Drama,4.4,,,137
11521,Rich Kids,Mariano Galperin,(2000),87 min,"Drama, Thriller",3.1,,,137
11522,Intimate Enemies,Im Sang-soo,(2015),110 min,"Action, Adventure, Comedy",4.6,,,137
11523,L'italiano,Ennio De Dominicis,(2002),90 min,Drama,4.8,,,137
11524,Peacock Alley,Marcel De Sano,(1930),63 min,"Drama, Music, Romance",4.7,Passed,,137
11525,Space Captain: Captain of Space!,Jeremy Mather,(2014),88 min,"Adventure, Comedy, Sci-Fi",6.5,,,137
11526,Love Her Madly,Ray Manzarek,(2000),92 min,"Drama, Thriller",3.6,,,137
11527,O Desafio,Paulo César Saraceni,(1966),81 min,Drama,7.0,,,137
11528,Things Are Looking Up,Albert de Courville,(1935),80 min,"Comedy, Musical",6.1,,,137
11529,Just Run!,Carlos Saura Medrano,(2000),90 min,"Drama, Romance",5.8,,,137
11530,Second Half,Lukasz Wisniewski,(2021),92 min,Comedy,3.3,,,137
11531,On the Sunny Side,Gustaf Molander,(1936),92 min,"Comedy, Drama, Romance",5.2,,,137
11532,Legion of the Night,Matt Jaissle,(1995),85 min,"Action, Horror, Sci-Fi",3.8,Unrated,,137
11533,Inesquecível,Paulo Sérgio de Almeida,(2007),90 min,Drama,4.7,,,137
11534,Stepping High,Henri Charr,(2013),98 min,Drama,4.2,Not Rated,,137
11535,"Shadowland, the Legend",Johanna Kern,(2012),88 min,"Adventure, Family, Fantasy",3.5,Not Rated,,137
11536,Giri,Sundar C.,(2004),145 min,"Action, Comedy",5.9,Not Rated,,137
11537,Of Gods and the Undead,Ruy Guerra,(1970),97 min,Drama,6.4,,,137
11538,El calzonazos,Mariano Ozores,(1974),92 min,Comedy,4.6,,,137
11539,Drinking Games,Joseph Lawson,(1998),94 min,Drama,6.0,,,137
11540,Blowfish,Chi-Yuarn Lee,(2011),88 min,"Drama, Romance",6.5,,,137
11541,The Ugly King,Yilmaz Atadeniz,(1966),62 min,Adventure,5.3,,,137
