,title,director,release_year,length,genre,imdb_score,rating,gross_US_CA,imdb_votes
68,She Couldn't Say No,William Clemens,(II) (1940),62 min,Comedy,6.4,Approved,,187
69,Dümdüzz Adam,Murat Toktamisoglu,(2018),111 min,Comedy,2.1,,,187
70,Fantail,Curtis Vowell,(2013),81 min,"Comedy, Drama",6.8,Not Rated,,187
71,Elias og kongeskipet,Espen Fyksen,(2007),76 min,"Animation, Family",5.8,,,187
72,Bestevenner,Christian Lo,(2009),75 min,Family,5.7,,,187
73,"Aram, Aram",Christopher Chambers,(2015),79 min,Drama,6.6,,,187
74,Santa Claus Is Coming to Town!,Elwood Perez,(1982),90 min,"Drama, Family, Romance",7.8,,,187
75,Star Blazers 2199,Yutaka Izubuchi,(2012),50 min,"Animation, Action, Adventure",7.8,,,187
76,Jóhannes,Þorsteinn Gunnar Bjarnason,(2009),90 min,Comedy,5.8,,,187
77,Serko,Joël Farges,(2006),96 min,"Adventure, Drama, History",6.1,,,187
78,You'll Never Walk Alone,Charlotte de Turckheim,(2015),103 min,"Comedy, Drama, Music",5.3,,,187
79,How to Follow Strangers,Chioke Nassor,(2013),86 min,"Drama, Mystery, Romance",6.0,Not Rated,,187
80,Life Is a Circus,Val Guest,(1960),84 min,Comedy,8.1,,,187
81,West of Brooklyn,Danny Cistone,(2008),97 min,"Comedy, Drama",4.9,,,187
82,Pociag do Hollywood,Radoslaw Piwowarski,(1987),97 min,"Comedy, Romance",6.2,,,187
83,Apocalypse and the Beauty Queen,Thomas Smugala,(2005),95 min,Fantasy,3.4,Not Rated,,187
84,I Am a King,Kyu-sung Jang,(2012),120 min,"Comedy, Drama, History",5.8,,,187
85,The Sleeping Beast Within,Seijun Suzuki,(1960),86 min,"Action, Crime",6.6,Not Rated,,187
86,Mühürlü Kösk,Serkant Yasar Kutlubay,(2011),,Thriller,1.2,,,187
87,Sai lor fah,Yuthlert Sippapak,(2004),93 min,"Comedy, Crime, Romance",6.7,,,187
88,"Sonyeon, Cheonguk-e gada",Tae-yeong Yun,(2005),110 min,Romance,6.5,PG-13,,187
89,So Long Letty,Lloyd Bacon,(1929),64 min,"Comedy, Musical",6.1,,,187
90,All for Melissa,Gerard Elmore,(2007),91 min,"Comedy, Romance",3.8,,,187
91,Fashion Model,William Beaudine,(1945),61 min,"Adventure, Comedy, Crime",5.2,Approved,,187
92,Granny Get Your Gun,George Amy,(1940),56 min,"Comedy, Western",6.1,Passed,,187
93,Un honnête commerçant,Philippe Blasband,(2002),86 min,"Crime, Thriller",7.0,,,187
94,Joyful Reunion,Jui-Yuan Tsao,(2012),107 min,"Comedy, Romance",4.8,,,187
95,Road Gang,Louis King,(1936),61 min,Drama,6.2,Passed,,187
96,Intruder,Gregory Caiafa,(2008),85 min,Horror,3.5,Not Rated,,187
97,Um Show de Verão,Moacyr Góes,(2004),97 min,"Comedy, Family, Music",2.3,,,187
98,Son of a Sailor,Lloyd Bacon,(1933),73 min,Comedy,5.8,Passed,,187
99,Sudba rezidenta,Venyamin Dorman,(1970),157 min,"Adventure, Mystery",7.1,,,187
100,Howlings in Favour of De Sade,Guy Debord,(1952),64 min,Drama,6.4,,,187
101,Castro,Alejo Moguillansky,(2009),85 min,"Drama, Mystery",6.2,,,187
102,Das Gespenst,Herbert Achternbusch,(1982),88 min,Drama,5.8,,,187
103,Bokhandlaren som slutade bada,Jarl Kulle,(1969),99 min,"Comedy, Drama",5.5,,,187
104,Stars Over Broadway,William Keighley,(1935),89 min,"Drama, Musical, Romance",5.8,Approved,,187
105,The Rest of the Night,Francesco Munzi,(2008),101 min,Drama,5.9,,,187
106,Nightscape,David W. Edwards,(2012),89 min,"Fantasy, Horror, Thriller",2.8,Not Rated,,187
107,Point of Fear,Brooks Benjamin,(2006),96 min,"Drama, Horror, Mystery",3.1,Not Rated,,187
108,Wandering Ginza Butterfly 2: She-Cat Gambler,Kazuhiko Yamaguchi,(1972),86 min,"Action, Crime",6.5,,,187
109,Mister Hobo,Milton Rosmer,(1935),80 min,Comedy,7.3,Not Rated,,187
110,Turn,Hideyuki Hirayama,(2001),112 min,"Drama, Fantasy, Sci-Fi",7.0,,,187
111,Curtain Call,Frank Woodruff,(1940),63 min,"Comedy, Romance",5.8,Approved,,187
112,Jaguarov skok,Aleksandar Djordjevic,(1984),99 min,Drama,6.1,,,187
113,La Paz,Santiago Loza,(2013),73 min,"Drama, Romance",6.1,Not Rated,,187
114,Park Sovetskogo perioda,Yuliy Gusman,(2006),117 min,Comedy,4.7,,,187
115,Acha Dhin,G. Marthandan,(2015),107 min,Drama,3.2,,,187
116,Klyuch bez prava peredachi,Dinara Asanova,(1977),95 min,"Drama, Romance",7.5,,,187
117,Bingwoo,Eun-seok Kim,(2004),105 min,"Adventure, Drama, Romance",5.5,,,187
118,Aura,Zsolt Bernáth,(2014),80 min,"Drama, Sci-Fi",3.9,Not Rated,,187
119,Il petomane,Pasquale Festa Campanile,(1983),103 min,Comedy,6.4,,,187
120,The Insanity,Xiaozhi Rao,(2016),107 min,"Comedy, Mystery, Thriller",6.3,,,187
121,Serce do walki,Kacper Anuszewski,(2019),97 min,"Action, Drama, Sport",3.5,,,187
122,Year Zero,Joseph Pitchhadze,(2004),131 min,Drama,7.0,,,187
123,Huzurum Kalmadi,Natuk Baytan,(1980),100 min,Drama,4.6,,,187
124,Honesty,Jing Wong,(2003),100 min,"Comedy, Romance",5.5,,,187
125,The Demons Among Us,Stuart Simpson,(2006),86 min,Horror,3.2,Not Rated,,187
126,New Perfect Two,Yen-Ping Chu,(2012),100 min,Family,5.3,,,187
127,Como un relámpago,Miguel Hermoso,(1996),105 min,Drama,6.6,,,187
128,Stagecoach War,Lesley Selander,(1940),63 min,"Drama, Western",6.3,Passed,,187
129,"O, schastlivchik!",Eduard Parri,(2009),95 min,"Comedy, Drama",4.7,,,187
130,Udayapuram Sulthan,Jose Thomas,(1999),,"Comedy, Drama",5.4,,,187
131,Le fou du labo IV,Jacques Besnard,(1967),90 min,Comedy,5.1,,,187
132,You & Me,Takashi Kubota,(2011),45 min,Drama,7.0,,,187
133,Vasha,Hannu Salonen,(2009),100 min,"Crime, Drama, Thriller",5.7,Not Rated,,187
134,Netto Perde Sua Alma,Tabajara Ruas,(2001),102 min,"Action, Drama, War",6.8,,,187
135,Antilles sur Seine,Pascal Légitimus,(2000),104 min,"Comedy, Crime",3.8,,,187
136,"Projekt dziecko, czyli ojciec potrzebny od zaraz",Adam Dobrzycki,(2010),80 min,Comedy,2.9,,,187
137,Bapjaner Bioscope,Reazul Rezu,(2015),127 min,Drama,7.3,,,187
138,Kamenák 4,Ján Novák,(2013),83 min,Comedy,2.7,,,187
139,Bak syv hav,Sajeed Anjum,(1991),87 min,Drama,3.0,,,187
140,Sometimes I Think About Dying,Rachel Lambert,(2023),91 min,"Comedy, Drama, Romance",6.9,,,186
141,Mothman,Joshua Brucker,(2022),83 min,"Drama, Horror, Mystery",4.2,,,186
142,Doraemon the Movie: Nobita's Sky Utopia,Takumi Doyama,(2023),107 min,"Animation, Adventure, Comedy",6.7,,,186
143,Bigfoot or Bust,Jim Wynorski,(2022),77 min,Comedy,2.1,,,186
144,Titina,Kajsa Næss,(2022),91 min,"Animation, Adventure, Family",7.5,,,186
145,Let's Get Physical,Robin Hays,(2022),86 min,Drama,5.7,TV-14,,186
146,Sin Island,Gino M. Santos,(2018),106 min,"Crime, Drama, Romance",5.5,,$0.07M,186
147,Atlas,Niccolò Castelli,(I) (2021),90 min,Drama,5.7,,,186
148,Mixing Nia,Alison Swan,(1998),92 min,"Comedy, Drama",5.6,R,,186
149,The Brides Wore Blood,Bob Favorite,(1972),84 min,Horror,3.8,R,,186
150,Olsenbanden jr. Mestertyvens skatt,Arne Lindtner Næss,(2010),81 min,Family,4.9,,,186
151,Incontro nell'ultimo paradiso,Umberto Lenzi,(1982),92 min,"Adventure, Comedy",4.2,,,186
152,The Favourite Game,Bernar Hébert,(2003),101 min,Drama,5.7,,,186
153,Yowis Ben 3,Fajar Nugros,(2021),113 min,"Comedy, Drama",6.9,TV-G,,186
154,Punttikomedia,Aleksi Delikouras,(2022),94 min,Comedy,6.0,,,186
155,O.K.,Michael Verhoeven,(1970),80 min,"Drama, War",7.3,,,186
156,Eternal Quon 1: The Ephemeral Petal,Umanosuke Iida,(2011),48 min,"Animation, Action, Fantasy",6.6,TV-14,,186
